,points,mat_fun,eps,left,mid,right
0,plane_small,3x3,0,49995,0,50005
1,plane_small,2x2,0,49995,0,50005
2,plane_small,3x3_lib,0,49995,0,50005
3,plane_small,2x2_lib,0,49995,0,50005
4,plane_small,3x3,14,49995,0,50005
5,plane_small,2x2,14,49995,0,50005
6,plane_small,3x3_lib,14,49995,0,50005
7,plane_small,2x2_lib,14,49995,0,50005
8,plane_small,3x3,12,49995,0,50005
9,plane_small,2x2,12,49995,0,50005
10,plane_small,3x3_lib,12,49995,0,50005
11,plane_small,2x2_lib,12,49995,0,50005
12,plane_small,3x3,10,49995,0,50005
13,plane_small,2x2,10,49995,0,50005
14,plane_small,3x3_lib,10,49995,0,50005
15,plane_small,2x2_lib,10,49995,0,50005
16,plane_small,3x3,8,49995,0,50005
17,plane_small,2x2,8,49995,0,50005
18,plane_small,3x3_lib,8,49995,0,50005
19,plane_small,2x2_lib,8,49995,0,50005
20,plane_large,3x3,0,49834,0,50166
21,plane_large,2x2,0,49832,6,50162
22,plane_large,3x3_lib,0,49834,0,50166
23,plane_large,2x2_lib,0,49830,7,50163
24,plane_large,3x3,14,49834,0,50166
25,plane_large,2x2,14,49832,6,50162
26,plane_large,3x3_lib,14,49834,0,50166
27,plane_large,2x2_lib,14,49830,7,50163
28,plane_large,3x3,12,49834,0,50166
29,plane_large,2x2,12,49832,6,50162
30,plane_large,3x3_lib,12,49834,0,50166
31,plane_large,2x2_lib,12,49830,7,50163
32,plane_large,3x3,10,49834,0,50166
33,plane_large,2x2,10,49832,6,50162
34,plane_large,3x3_lib,10,49834,0,50166
35,plane_large,2x2_lib,10,49830,7,50163
36,plane_large,3x3,8,49834,0,50166
37,plane_large,2x2,8,49832,6,50162
38,plane_large,3x3_lib,8,49834,0,50166
39,plane_large,2x2_lib,8,49830,7,50163
40,circle,3x3,0,55,0,45
41,circle,2x2,0,55,0,45
42,circle,3x3_lib,0,55,0,45
43,circle,2x2_lib,0,55,0,45
44,circle,3x3,14,55,0,45
45,circle,2x2,14,55,0,45
46,circle,3x3_lib,14,55,0,45
47,circle,2x2_lib,14,55,0,45
48,circle,3x3,12,55,0,45
49,circle,2x2,12,55,0,45
50,circle,3x3_lib,12,55,0,45
51,circle,2x2_lib,12,55,0,45
52,circle,3x3,10,55,0,45
53,circle,2x2,10,55,0,45
54,circle,3x3_lib,10,55,0,45
55,circle,2x2_lib,10,55,0,45
56,circle,3x3,8,55,0,45
57,circle,2x2,8,55,0,45
58,circle,3x3_lib,8,55,0,45
59,circle,2x2_lib,8,55,0,45
60,line,3x3,0,47,7,46
61,line,2x2,0,41,15,44
62,line,3x3_lib,0,47,8,45
63,line,2x2_lib,0,41,14,45
64,line,3x3,14,39,20,41
65,line,2x2,14,41,15,44
66,line,3x3_lib,14,40,18,42
67,line,2x2_lib,14,41,14,45
68,line,3x3,12,39,20,41
69,line,2x2,12,39,20,41
70,line,3x3_lib,12,39,20,41
71,line,2x2_lib,12,41,15,44
72,line,3x3,10,39,20,41
73,line,2x2,10,39,20,41
74,line,3x3_lib,10,39,20,41
75,line,2x2_lib,10,39,20,41
76,line,3x3,8,39,20,41
77,line,2x2,8,39,20,41
78,line,3x3_lib,8,39,20,41
79,line,2x2_lib,8,39,20,41
